Cavities	center_x  center_y  center_z  size_x  size_y  size_z  cavity_size
1	-21.161  11.802  13.940  14  9  14  417
2	11.557  1.355  -15.731  11  10  10  322
3	16.492  -8.413  -7.287  9  6  6  194
4	-25.474  -1.062  17.757  6  8  7  188
5	2.983  -3.959  -23.486  5  8  6  165
6	7.747  11.895  -20.844  5  7  6  138
7	13.285  6.081  -6.003  8  7  6  131
8	-8.224  5.267  18.967  12  9  8  148
9	13.691  12.764  -16.861  6  7  6  111
10	-20.343  12.836  5.343  3  4  4  48
11	-20.932  -10.018  7.840  5  3  4  65
12	0.113  -4.484  6.280  5  4  6  76
13	-11.108  -4.711  -11.852  7  5  9  92
14	11.274  -13.860  -11.431  7  5  8  103
15	-5.141  6.372  -14.603  5  3  5  72
16	-24.880  6.738  22.146  8  3  5  84
17	-0.401  -11.972  -7.046  4  3  4  49
18	-9.036  15.721  1.406  4  3  2  41
19	-17.573  2.701  13.358  3  5  4  83
20	-31.997  3.989  14.827  2  4  9  75
