trainnum,Name,trainname,Time,ALL_size,TRAIN_size,TEST_size,BEST_model,score_val,mean_squared_error,pearsonr,mean_absolute_error,root_mean_squared_error,score_test,traintimelimit_mins,File_Name
0.0,5HT1A_HUMAN,Agonist,20230518_1638,400.0,320.0,80.0,WeightedEnsemble_L2,-0.26299,0.17556,0.91647,0.27205,0.419,-0.17556,2.66667,GPCR_to_trainAgonist_5HT1A_HUMAN.csv
1.0,5HT1B_HUMAN,Agonist,20230518_1641,55.0,44.0,11.0,WeightedEnsemble_L2,-0.62775,0.43866,,0.55153,0.66231,-0.43866,0.36667,GPCR_to_trainAgonist_5HT1B_HUMAN.csv
2.0,5HT1D_HUMAN,Agonist,20230518_1642,112.0,89.0,23.0,WeightedEnsemble_L2,-0.27221,0.28029,0.70797,0.45527,0.52943,-0.28029,0.73333,GPCR_to_trainAgonist_5HT1D_HUMAN.csv
3.0,5HT1F_HUMAN,Agonist,20230518_1643,6.0,6.0,,skip,,,,,,,,GPCR_to_trainAgonist_5HT1F_HUMAN.csv
4.0,5HT2A_HUMAN,Agonist,20230518_1643,300.0,240.0,60.0,WeightedEnsemble_L2,-0.31918,0.32131,0.77891,0.39321,0.56684,-0.32131,2.0,GPCR_to_trainAgonist_5HT2A_HUMAN.csv
5.0,5HT2B_HUMAN,Agonist,20230518_1645,246.0,196.0,50.0,WeightedEnsemble_L2,-0.1563,74.92654,0.11573,1.51535,8.65601,-74.92654,1.63333,GPCR_to_trainAgonist_5HT2B_HUMAN.csv
6.0,5HT2C_HUMAN,Agonist,20230518_1647,605.0,484.0,121.0,WeightedEnsemble_L2,-0.36141,0.39454,0.73196,0.45422,0.62812,-0.39454,4.03333,GPCR_to_trainAgonist_5HT2C_HUMAN.csv
7.0,5HT4R_HUMAN,Agonist,20230518_1651,444.0,355.0,89.0,WeightedEnsemble_L2,-0.14843,0.06385,0.96106,0.172,0.25269,-0.06385,2.95,GPCR_to_trainAgonist_5HT4R_HUMAN.csv
8.0,5HT5A_HUMAN,Agonist,20230518_1654,6.0,6.0,,skip,,,,,,,,GPCR_to_trainAgonist_5HT5A_HUMAN.csv
9.0,5HT6R_HUMAN,Agonist,20230518_1654,240.0,192.0,48.0,WeightedEnsemble_L2,-0.18576,0.17165,0.9068,0.30548,0.41431,-0.17165,1.6,GPCR_to_trainAgonist_5HT6R_HUMAN.csv
10.0,5HT7R_HUMAN,Agonist,20230518_1656,10.0,8.0,2.0,WeightedEnsemble_L2,-0.44903,0.59261,,0.58533,0.76981,-0.59261,0.08333,GPCR_to_trainAgonist_5HT7R_HUMAN.csv
11.0,AA1R_HUMAN,Agonist,20230518_1656,266.0,212.0,54.0,WeightedEnsemble_L2,-0.78408,0.74259,0.69285,0.62003,0.86174,-0.74259,1.76667,GPCR_to_trainAgonist_AA1R_HUMAN.csv
12.0,AA2AR_HUMAN,Agonist,20230518_1658,271.0,216.0,55.0,WeightedEnsemble_L2,-0.18068,0.20638,0.85239,0.27554,0.45429,-0.20638,1.8,GPCR_to_trainAgonist_AA2AR_HUMAN.csv
13.0,AA2BR_HUMAN,Agonist,20230518_1700,211.0,168.0,43.0,WeightedEnsemble_L2,-0.13082,0.06063,0.97173,0.15379,0.24623,-0.06063,1.4,GPCR_to_trainAgonist_AA2BR_HUMAN.csv
14.0,AA3R_HUMAN,Agonist,20230518_1701,167.0,133.0,34.0,WeightedEnsemble_L2,-0.48545,0.50842,0.80621,0.45245,0.71303,-0.50842,1.1,GPCR_to_trainAgonist_AA3R_HUMAN.csv
15.0,ACKR3_HUMAN,Agonist,20230518_1702,43.0,34.0,9.0,WeightedEnsemble_L2,-0.94763,1.03679,,0.78335,1.01823,-1.03679,0.28333,GPCR_to_trainAgonist_ACKR3_HUMAN.csv
16.0,ACM1_HUMAN,Agonist,20230518_1703,509.0,407.0,102.0,WeightedEnsemble_L2,-0.2338,0.31152,0.85787,0.36662,0.55814,-0.31152,3.38333,GPCR_to_trainAgonist_ACM1_HUMAN.csv
17.0,ACM2_HUMAN,Agonist,20230518_1706,78.0,62.0,16.0,WeightedEnsemble_L2,-0.16315,0.20127,0.61279,0.35027,0.44864,-0.20127,0.51667,GPCR_to_trainAgonist_ACM2_HUMAN.csv
18.0,ACM3_HUMAN,Agonist,20230518_1707,48.0,38.0,10.0,WeightedEnsemble_L2,-0.46411,0.40477,,0.58137,0.63621,-0.40477,0.31667,GPCR_to_trainAgonist_ACM3_HUMAN.csv
19.0,ACM4_HUMAN,Agonist,20230518_1707,108.0,86.0,22.0,WeightedEnsemble_L2,-0.70047,0.79144,0.30688,0.64134,0.88963,-0.79144,0.71667,GPCR_to_trainAgonist_ACM4_HUMAN.csv
20.0,ACM5_HUMAN,Agonist,20230518_1708,86.0,68.0,18.0,WeightedEnsemble_L2,-0.16802,0.17503,0.89492,0.33712,0.41837,-0.17503,0.56667,GPCR_to_trainAgonist_ACM5_HUMAN.csv
21.0,ADA1A_HUMAN,Agonist,20230518_1709,270.0,216.0,54.0,WeightedEnsemble_L2,-0.41965,0.44158,0.77968,0.50643,0.66452,-0.44158,1.8,GPCR_to_trainAgonist_ADA1A_HUMAN.csv
22.0,ADA1B_HUMAN,Agonist,20230518_1711,33.0,26.0,7.0,WeightedEnsemble_L2,-0.33825,0.55138,0.84928,0.48727,0.74255,-0.55138,0.21667,GPCR_to_trainAgonist_ADA1B_HUMAN.csv
23.0,ADA1D_HUMAN,Agonist,20230518_1711,53.0,42.0,11.0,WeightedEnsemble_L2,-0.24268,0.3575,0.87718,0.45693,0.59791,-0.3575,0.35,GPCR_to_trainAgonist_ADA1D_HUMAN.csv
24.0,ADA2A_HUMAN,Agonist,20230518_1712,111.0,88.0,23.0,WeightedEnsemble_L2,-0.46321,0.80799,0.49047,0.67068,0.89888,-0.80799,0.73333,GPCR_to_trainAgonist_ADA2A_HUMAN.csv
