trainnum,Name,trainname,Time,ALL_size,TRAIN_size,TEST_size,BEST_model,score_val,mean_squared_error,pearsonr,mean_absolute_error,root_mean_squared_error,score_test,traintimelimit_mins,File_Name
0.0,5HT1A_HUMAN,AgonistAntagonist,20230518_1634,850.0,680.0,170.0,WeightedEnsemble_L2,-0.18245,0.16324,0.94716,0.25244,0.40403,-0.16324,5.66667,GPCR_to_trainAgonistAntagonist_5HT1A_HUMAN.csv
1.0,5HT1B_HUMAN,AgonistAntagonist,20230518_1640,165.0,132.0,33.0,WeightedEnsemble_L2,-0.21768,0.26852,0.9197,0.3004,0.51819,-0.26852,1.1,GPCR_to_trainAgonistAntagonist_5HT1B_HUMAN.csv
2.0,5HT1D_HUMAN,AgonistAntagonist,20230518_1642,246.0,196.0,50.0,WeightedEnsemble_L2,-0.20057,0.14578,0.90437,0.24504,0.38182,-0.14578,1.63333,GPCR_to_trainAgonistAntagonist_5HT1D_HUMAN.csv
3.0,5HT1E_HUMAN,AgonistAntagonist,20230518_1643,36.0,28.0,8.0,WeightedEnsemble_L2,-0.03817,0.01007,0.98502,0.08931,0.10037,-0.01007,0.23333,GPCR_to_trainAgonistAntagonist_5HT1E_HUMAN.csv
4.0,5HT1F_HUMAN,AgonistAntagonist,20230518_1644,6.0,6.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_5HT1F_HUMAN.csv
5.0,5HT2A_HUMAN,AgonistAntagonist,20230518_1644,533.0,426.0,107.0,WeightedEnsemble_L2,-0.3076,0.27521,0.86465,0.34198,0.5246,-0.27521,3.55,GPCR_to_trainAgonistAntagonist_5HT2A_HUMAN.csv
6.0,5HT2B_HUMAN,AgonistAntagonist,20230518_1647,512.0,409.0,103.0,WeightedEnsemble_L2,-0.55912,0.3507,0.75706,0.42269,0.5922,-0.3507,3.4,GPCR_to_trainAgonistAntagonist_5HT2B_HUMAN.csv
7.0,5HT2C_HUMAN,AgonistAntagonist,20230518_1651,714.0,571.0,143.0,WeightedEnsemble_L2,-0.3495,0.35924,0.77506,0.41953,0.59937,-0.35924,4.75,GPCR_to_trainAgonistAntagonist_5HT2C_HUMAN.csv
8.0,5HT4R_HUMAN,AgonistAntagonist,20230518_1656,480.0,384.0,96.0,WeightedEnsemble_L2,-0.20457,0.17142,0.88424,0.27696,0.41403,-0.17142,3.2,GPCR_to_trainAgonistAntagonist_5HT4R_HUMAN.csv
9.0,5HT5A_HUMAN,AgonistAntagonist,20230518_1659,15.0,12.0,3.0,WeightedEnsemble_L2,-4.11836,3.78832,,1.80304,1.94636,-3.78832,0.1,GPCR_to_trainAgonistAntagonist_5HT5A_HUMAN.csv
