model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.45282319460696296,-0.45282319460696296,-0.6472926596053795,0.345362658052698,-0.6729213881330887,-0.41929424140101673,2.355499267578125,2.3649144172668457,15.875932931900024,0.005045890808105469,0.00047898292541503906,0.2297971248626709,2,True,10
CatBoost_BAG_L1,-0.4497911528738211,-0.4497911528738211,-0.6467389811757345,0.3556215684074541,-0.6706647097274622,-0.4206323480566075,0.9322197437286377,0.583146333694458,10.73566722869873,0.9322197437286377,0.583146333694458,10.73566722869873,1,True,4
NeuralNetFastAI_BAG_L1,-0.47602051227320535,-0.47602051227320535,-0.6624503788857883,0.2764689053665586,-0.6899423977936168,-0.4502934499689401,2.9977831840515137,3.0184311866760254,29.971734762191772,2.9977831840515137,3.0184311866760254,29.971734762191772,1,True,6
LightGBMXT_BAG_L1,-0.5024551244358078,-0.5024551244358078,-0.6499159895972592,-0.2252366267180065,-0.7088406904487127,-0.4595538428027203,0.5369884967803955,0.13045406341552734,37.852725982666016,0.5369884967803955,0.13045406341552734,37.852725982666016,1,True,1
LightGBMLarge_BAG_L1,-0.5007921783300203,-0.5007921783300203,-0.6499297484224784,-0.09431302434806355,-0.7076667141600065,-0.4611509326376597,0.5765883922576904,0.23652935028076172,80.1869843006134,0.5765883922576904,0.23652935028076172,80.1869843006134,1,True,9
LightGBM_BAG_L1,-0.5035029593432213,-0.5035029593432213,-0.6506641263664296,-0.2961756635301336,-0.7095794242670945,-0.4621721439511436,0.5162549018859863,0.1287226676940918,3.287900447845459,0.5162549018859863,0.1287226676940918,3.287900447845459,1,True,2
NeuralNetTorch_BAG_L1,-0.4820643549729333,-0.4820643549729333,-0.6508915631784572,0.17251518347925768,-0.6943085445052029,-0.47509473038775785,1.4182336330413818,1.7812891006469727,4.910468578338623,1.4182336330413818,1.7812891006469727,4.910468578338623,1,True,8
XGBoost_BAG_L1,-0.6363421545774868,-0.6363421545774868,-0.7590630987533288,0.04925013425496782,-0.7977105706818023,-0.6383833191991483,0.21280360221862793,0.11201286315917969,16.645124912261963,0.21280360221862793,0.11201286315917969,16.645124912261963,1,True,7
ExtraTreesMSE_BAG_L1,-0.697326494452742,-0.697326494452742,-0.8029655082561787,0.005501091220594739,-0.8350607729098176,-0.6661696072322165,0.2971165180206299,0.20893025398254395,4.376498460769653,0.2971165180206299,0.20893025398254395,4.376498460769653,1,True,5
RandomForestMSE_BAG_L1,-0.6989280977935024,-0.6989280977935024,-0.8060216809991618,-0.02429240581201132,-0.8360191970245076,-0.6701330865818059,0.1376481056213379,0.18018364906311035,1.7411439418792725,0.1376481056213379,0.18018364906311035,1.7411439418792725,1,True,3
