model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,-0.0769088911826204,-0.0769088911826204,-0.13343457284974278,0.9021332602558089,-0.2773245232261662,-0.0732254796551391,6.980347156524658,53.7300283908844,4286.832340717316,0.003088235855102539,0.0007631778717041016,0.39202427864074707,3,True,14
ExtraTreesMSE_BAG_L2,-0.07653264159947473,-0.07653264159947473,-0.13328807061356526,0.9026944544706801,-0.27664533540161984,-0.07332961071018232,5.895482778549194,35.52875375747681,4171.6846787929535,0.6212007999420166,17.191205978393555,43.83518981933594,2,True,9
RandomForestMSE_BAG_L2,-0.0832108641137165,-0.0832108641137165,-0.13837506399088997,0.8924346383146105,-0.28846293369117026,-0.07554412796872227,6.356058120727539,36.53805923461914,4242.605126619339,1.0817761421203613,18.20051145553589,114.75563764572144,2,True,7
XGBoost_BAG_L2,-0.07740189772103429,-0.07740189772103429,-0.12573058174399493,0.8997365631691128,-0.27821196545266397,-0.08056354553886588,8.28318190574646,19.71587634086609,4247.332692146301,3.0088999271392822,1.378328561782837,119.48320317268372,2,True,11
LightGBM_BAG_L2,-0.07484365480349102,-0.07484365480349102,-0.12733076653588418,0.9047919574288624,-0.2735756838673551,-0.08062190814416927,7.072451114654541,18.822636604309082,4224.335980415344,1.7981691360473633,0.4850888252258301,96.48649144172668,2,True,6
CatBoost_BAG_L2,-0.07268074783743729,-0.07268074783743729,-0.12421195134545597,0.905613420990736,-0.2695936717310651,-0.0845801845501232,6.1917877197265625,19.05989956855774,4272.304576396942,0.9175057411193848,0.7223517894744873,144.45508742332458,2,True,8
LightGBMXT_BAG_L2,-0.0741484115235221,-0.0741484115235221,-0.12110144495672674,0.9041231679849504,-0.27230205934498936,-0.08595675712749973,6.836987495422363,19.08485174179077,4168.34983086586,1.5627055168151855,0.7473039627075195,40.50034189224243,2,True,5
WeightedEnsemble_L2,-0.08170073991213665,-0.08170073991213665,-0.15173832742055673,0.9028240501781936,-0.2858334128686439,-0.0965738320136909,3.5745420455932617,17.36245369911194,3472.996803045273,0.004174947738647461,0.0011322498321533203,0.20067119598388672,2,True,4
NeuralNetFastAI_BAG_L2,-0.1011713644593508,-0.1011713644593508,-0.15407026794541984,0.8951519395561802,-0.3180744637020564,-0.09659141248545794,17.97035026550293,27.271008491516113,4817.366648674011,12.696068286895752,8.933460712432861,689.5171597003937,2,True,10
NeuralNetTorch_BAG_L2,-0.08489762617602292,-0.08489762617602292,-0.15614165494754337,0.893235369043159,-0.29137197218679584,-0.10503656712212261,15.8648099899292,26.567833185195923,4669.819122076035,10.590528011322021,8.230285406112671,541.969633102417,2,True,12
RandomForestMSE_BAG_L1,-0.09616845766911992,-0.09616845766911992,-0.18230636967045474,0.8913528763313863,-0.31011039593847856,-0.10588026344262741,1.6168041229248047,15.136821031570435,152.41779589653015,1.6168041229248047,15.136821031570435,152.41779589653015,1,True,3
LightGBMXT_BAG_L1,-0.07343785531181396,-0.07343785531181396,-0.11728818721103142,0.906126560775301,-0.27099419793016594,-0.11063211139813488,1.9535629749298096,2.2245004177093506,3320.378335952759,1.9535629749298096,2.2245004177093506,3320.378335952759,1,True,1
LightGBM_BAG_L1,-0.07747450629808067,-0.07747450629808067,-0.13918132356400392,0.9038718184083204,-0.2783424263350463,-0.1131792065104279,1.7039148807525635,0.9762263298034668,655.0533571243286,1.7039148807525635,0.9762263298034668,655.0533571243286,1,True,2
LightGBMLarge_BAG_L2,-0.23198140434862707,-0.23198140434862707,-0.3399281789197716,0.9024177865401684,-0.48164447920497033,-0.21865469211885283,6.848739862442017,19.075305223464966,4292.950137138367,1.5744578838348389,0.7377574443817139,165.10064816474915,2,True,13
