model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L2,-0.1894005813039199,-0.1894005813039199,-0.25273351643756725,0.9224148446912903,-0.4352017707959377,-0.14403577142975513,6.8051276206970215,3.565613031387329,415.9416415691376,0.9607956409454346,0.5161657333374023,8.415521621704102,2,True,9
WeightedEnsemble_L3,-0.1894005813039199,-0.1894005813039199,-0.25273351643756725,0.9224148446912903,-0.4352017707959377,-0.14403577142975513,6.806589841842651,3.5660529136657715,416.0388026237488,0.0014622211456298828,0.0004398822784423828,0.09716105461120605,3,True,10
LightGBMXT_BAG_L2,-0.18681979473436386,-0.18681979473436386,-0.2654327383255517,0.9238039294626333,-0.43222655486950806,-0.17624044099246303,7.203866243362427,3.4037728309631348,573.8081333637238,1.3595342636108398,0.354325532913208,166.28201341629028,2,True,7
WeightedEnsemble_L2,-0.1780593583055475,-0.1780593583055475,-0.25696572196904194,0.9298428275443283,-0.4219708026695064,-0.18935526736236094,2.287466049194336,0.9019017219543457,169.68953490257263,0.0028963088989257812,0.0004279613494873047,0.13732147216796875,2,True,6
LightGBMXT_BAG_L1,-0.16764974754461645,-0.16764974754461645,-0.2300922694952771,0.9329775368555339,-0.4094505434660167,-0.19787291851731445,1.582664966583252,0.4069986343383789,165.53229904174805,1.582664966583252,0.4069986343383789,165.53229904174805,1,True,1
ExtraTreesMSE_BAG_L1,-0.21312330384330103,-0.21312330384330103,-0.31048779639122576,0.9178939854982642,-0.4616527957711304,-0.215674965996797,0.7019047737121582,0.4944751262664795,4.019914388656616,0.7019047737121582,0.4944751262664795,4.019914388656616,1,True,5
LightGBM_BAG_L1,-0.18245672301347904,-0.18245672301347904,-0.26621343685636734,0.927776056818676,-0.4271495323812014,-0.22585243992679752,1.4299061298370361,0.5358002185821533,202.06553411483765,1.4299061298370361,0.5358002185821533,202.06553411483765,1,True,2
RandomForestMSE_BAG_L1,-0.22367370471827558,-0.22367370471827558,-0.32153279969092563,0.9134091116912197,-0.47294154471591476,-0.23382928233977657,0.6413824558258057,0.5301756858825684,8.01558232307434,0.6413824558258057,0.5301756858825684,8.01558232307434,1,True,3
CatBoost_BAG_L1,-0.2527004776521516,-0.2527004776521516,-0.38577865806688394,0.9046520701520815,-0.5026932241955839,-0.26885868487733744,1.488473653793335,1.0819976329803467,27.89279007911682,1.488473653793335,1.0819976329803467,27.89279007911682,1,True,4
LightGBM_BAG_L2,-0.3142816057008543,-0.3142816057008543,-0.43358876669229635,0.9236923607465148,-0.5606082461941264,-0.34776082921890866,7.364055871963501,3.5316805839538574,439.3406653404236,1.519723892211914,0.48223328590393066,31.814545392990112,2,True,8
