model,score_test,mean_squared_error,mean_absolute_error,pearsonr,root_mean_squared_error,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L2,-0.26010897675725936,-0.26010897675725936,-0.30604083401984783,0.9003805075757663,-0.510008800666478,-0.1477507645791956,4.67515230178833,3.183462142944336,349.40973806381226,0.32978081703186035,0.4387054443359375,4.552582740783691,2,True,9
WeightedEnsemble_L3,-0.26010897675725936,-0.26010897675725936,-0.30604083401984783,0.9003805075757663,-0.510008800666478,-0.1477507645791956,4.677398920059204,3.1840016841888428,349.5242426395416,0.0022466182708740234,0.0005395412445068359,0.11450457572937012,3,True,10
LightGBM_BAG_L2,-0.24632026731280487,-0.24632026731280487,-0.29433458076922586,0.9060438337858646,-0.4963066263035432,-0.17762858211220803,5.386114597320557,3.0824949741363525,371.0149781703949,1.040743112564087,0.3377382755279541,26.157822847366333,2,True,8
WeightedEnsemble_L2,-0.23601492191641898,-0.23601492191641898,-0.3037692021070881,0.9119485883577384,-0.4858136699563105,-0.18716648025248434,1.51167893409729,0.8537845611572266,59.642737865448,0.0038661956787109375,0.0004210472106933594,0.1466376781463623,2,True,6
LightGBMXT_BAG_L2,-0.25229847800923066,-0.25229847800923066,-0.323839517374004,0.9079265813266273,-0.5022932191551371,-0.1986278137148218,5.356873989105225,3.046583890914917,487.5238173007965,1.0115025043487549,0.30182719230651855,142.66666197776794,2,True,7
LightGBMXT_BAG_L1,-0.22203652302567337,-0.22203652302567337,-0.27909574813937527,0.916628358326832,-0.4712075158841096,-0.19953053860734996,1.0622119903564453,0.20653009414672852,53.378790855407715,1.0622119903564453,0.20653009414672852,53.378790855407715,1,True,1
ExtraTreesMSE_BAG_L1,-0.2668084722110641,-0.2668084722110641,-0.3445792631577153,0.900597443344464,-0.5165350638737549,-0.2097167689025664,0.4456007480621338,0.6468334197998047,6.117309331893921,0.4456007480621338,0.6468334197998047,6.117309331893921,1,True,5
CatBoost_BAG_L1,-0.2581886845767454,-0.2581886845767454,-0.3425809055462908,0.9038748081857496,-0.5081227062204025,-0.21364798675045302,1.2390339374542236,1.3575623035430908,41.2399640083313,1.2390339374542236,1.3575623035430908,41.2399640083313,1,True,4
RandomForestMSE_BAG_L1,-0.2857314481826713,-0.2857314481826713,-0.36106502196705664,0.8927393664559766,-0.5345385376029228,-0.23137285987455697,0.5372405052185059,0.3675100803375244,3.783862352371216,0.5372405052185059,0.3675100803375244,3.783862352371216,1,True,3
LightGBM_BAG_L1,-0.25711331703305046,-0.25711331703305046,-0.3065644876464148,0.9022885037380339,-0.5070634250594795,-0.23355235559905335,1.0612843036651611,0.16632080078125,240.3372287750244,1.0612843036651611,0.16632080078125,240.3372287750244,1,True,2
