protein,SIMmin_7CUT0,SIMmax_7CUT0,SIMavg_7CUT0,SIMavgT5_7CUT0,SIMmin_7CUT1,SIMmax_7CUT1,SIMavg_7CUT1,SIMavgT5_7CUT1,SIMmin_7CUT2,SIMmax_7CUT2,SIMavg_7CUT2,SIMavgT5_7CUT2,SIMmin_7CUT3,SIMmax_7CUT3,SIMavg_7CUT3,SIMavgT5_7CUT3,SIMmin_7CUT4,SIMmax_7CUT4,SIMavg_7CUT4,SIMavgT5_7CUT4,SIMmin_7CUT5,SIMmax_7CUT5,SIMavg_7CUT5,SIMavgT5_7CUT5,SIMmin_7CUT6,SIMmax_7CUT6,SIMavg_7CUT6,SIMavgT5_7CUT6,SIMmin_7CUT7,SIMmax_7CUT7,SIMavg_7CUT7,SIMavgT5_7CUT7
5HT1A_HUMAN,11.44,89.44,33.323869969040324,82.206,2.63,73.08,18.082835820895514,68.464,9.21,98.21,46.8213467492261,92.80599999999998,15.49,80.56,54.57599378882006,80.394,14.2,83.33,46.226919504643924,82.092,9.88,85.0,19.14191950464395,75.624,6.87,97.5,44.34626934984529,92.0,,,,
5HT1A_RAT,11.44,89.44,33.440696594427344,82.304,2.5,73.08,18.773855024711697,67.69399999999999,9.21,98.21,46.81846749226019,92.46599999999998,15.49,80.56,54.57599378882006,80.394,14.2,83.33,46.454891640866904,82.092,9.88,85.0,19.303049535603712,75.904,6.87,97.5,44.17464396284841,92.0,,,,
5HT1B_HUMAN,12.1,89.57,35.32749226006188,84.90799999999999,1.11,40.0,18.318770764119538,39.574,9.62,86.57,43.595681114551034,81.64999999999999,12.68,85.14,51.81571428571419,84.49999999999999,16.78,84.51,47.25408668730662,82.17999999999999,15.08,65.52,25.734627329192545,61.342,4.92,97.44,39.9123374613002,93.562,,,,
5HT1B_RAT,12.12,89.57,35.49434984520121,84.94,1.6,44.44,18.030934891486,41.814,10.04,86.57,45.277987616098756,82.38,12.68,85.14,51.81571428571419,84.49999999999999,17.41,84.51,47.05362229102175,81.81,15.08,65.52,25.734627329192545,61.342,4.92,97.44,39.938668730650114,93.562,,,,
5HT1D_HUMAN,11.02,66.42,34.834566563467384,66.388,1.96,50.0,18.893494176372688,48.048,8.12,60.0,41.61526315789485,60.0,12.21,85.14,50.8651857585144,85.14,15.35,68.92,43.48481424148597,68.65,14.52,65.52,25.996594427244656,65.52,6.49,77.5,44.20763157894734,77.384,,,,
5HT1E_HUMAN,10.39,64.83,34.68871517027866,63.89399999999999,1.06,46.67,16.130994940978052,46.224000000000004,6.69,68.52,45.70786377708969,66.294,14.08,87.5,53.975263157894844,86.388,14.47,70.27,45.7970433436532,69.91399999999999,14.29,56.91,22.966253869969027,54.45399999999999,5.34,78.05,40.766021671826735,78.05,,,,
5HT1F_HUMAN,10.73,64.83,34.42393188854486,63.019999999999996,0.57,53.33,13.967996632996611,49.568,7.53,64.81,43.985433436532524,64.108,13.62,87.5,52.82503095975238,86.112,15.7,77.14,47.64286377708979,76.28399999999999,11.03,56.91,22.657244582043322,53.55999999999999,5.73,78.38,42.47373065015468,78.38,,,,
5HT2A_CANLF,13.43,95.32,34.07212074303408,93.67999999999999,2.27,77.27,13.561757877280332,76.81599999999999,11.87,98.68,39.28137770897838,98.418,14.81,98.63,56.073613707165194,96.438,12.72,98.53,41.612866043613714,91.64399999999998,12.96,99.0,26.971191950464355,91.806,7.63,68.97,44.73929687499994,68.63,1.72,87.93,13.9056146788991,87.586
5HT2A_HUMAN,12.91,93.84,33.86165634674919,92.78200000000001,2.27,95.45,14.82927392739282,92.27,11.72,98.68,39.27992260061925,98.418,14.81,98.63,56.073613707165194,96.438,12.72,98.53,41.612866043613714,91.64399999999998,13.76,97.03,25.51207430340564,90.22999999999999,7.63,68.97,44.73929687499994,68.63,1.72,87.93,13.940807339449549,87.586
5HT2A_PIG,13.84,95.32,34.16633126934983,93.966,2.27,95.45,14.282458745874647,92.72399999999999,11.72,98.68,39.286037151702836,98.68,14.81,98.63,56.44069659442716,98.63,12.72,98.53,41.612866043613714,91.64399999999998,12.96,99.0,26.986656346749182,91.806,7.63,68.97,44.73929687499994,68.63,1.72,86.21,14.072935779816547,86.21
5HT2A_RAT,13.24,93.84,33.942956656346745,92.046,1.58,81.82,14.502420701168704,81.366,11.51,94.74,39.49382352941169,94.74,14.81,98.63,56.073613707165194,96.438,12.72,98.53,42.21066563467502,98.53,13.73,97.03,25.709721362229068,90.05999999999999,7.63,68.97,44.73929687499994,68.63,1.72,82.76,13.957082568807385,82.07
5HT2B_HUMAN,13.31,76.23,33.474055727554145,71.766,2.5,37.5,17.101833333333342,37.0,8.79,64.52,42.71572755417926,64.52,14.85,95.89,57.28425696594399,93.972,14.22,78.38,43.54922600619193,77.426,11.38,92.37,23.401934984520057,83.56800000000001,7.25,87.93,40.19417956656361,84.138,1.64,73.77,12.618816029143911,65.892
5HT2B_RAT,12.61,76.23,33.66620743034053,71.98,2.45,59.09,21.093923205342247,59.09000000000001,10.74,60.26,38.938931888544886,59.376,15.84,95.89,56.68945820433438,93.698,13.66,78.38,44.01936532507725,77.982,11.38,92.37,23.133978328173303,82.748,7.25,87.93,40.51176470588254,83.792,1.67,73.77,13.196817359855315,66.68199999999999
